,Brand,Search,Comments,Source,Additional info
2,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+i a NIKE é Nota: 10 (dez),https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
4,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+So this is all a lie?,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
5,Nike,waste,"From Trash to Space Hippie | Behind the Design | Nike+This project is truely inspiring, I've been working with recycling for the last to years, using different methods and building the machines from Precious Plastic. We also worked with NGO that do beach clean up in the Caribean. Seen a big brand like Nike doing this type of projects is encouraging! The fact that Bill Bowerman, the original space hippie, started experimenting with a waffle iron, it's very similar to us,  we also started recycling plastic, using a sandwich iron and bottle caps !!! I would love to do a colab here in Mexico with the space hippie concept!",https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
6,Nike,waste,"From Trash to Space Hippie | Behind the Design | Nike+Just got a pair of the space hippie 03, they are the comfiest shoes i've ever had! I've gone from Flyknit, to Reacts, to these. Each of them are awesome, but this one gets the crown!!",https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
7,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+I tried to cop but SNKRS messed up my size so I couldn’t get them. I think Nike should make these main stream tho,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
10,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+Thank you for sharing the process!,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
11,Nike,waste,"From Trash to Space Hippie | Behind the Design | Nike+are you planning on making tons of these or just a few. I hope you make a lot. This will replace ultraboost. Hopefully, it doesn't go into the path of AJs and yeezys",https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
12,Nike,waste,"From Trash to Space Hippie | Behind the Design | Nike+Si vous me désigné comme vôtre seule représentant de la marque en Algérie et en Afrique et au moyen orient je peux vous aider à multiplié votre chiffre d'affaires par 100 en moins d'une année,️",https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
13,Nike,waste,"From Trash to Space Hippie | Behind the Design | Nike+Sick design, incredible concept and super comfiness",https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
14,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+This Space Hippie Collection has me excited about sneakers again! Keep on pushing for sustainable materials Nike.,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
16,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+Needdddddd the 01s. Excited for July 3rd :),https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
17,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+So happy that I had the chance to buy the 01,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
19,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+better than this just think about all the air bladdders in shoes that are broken and all we need is a air bladder to fix our shoe. but u don't sell those. i forgot that makes u no money. u fool no one,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
20,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+So fire,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
21,Nike,waste,"From Trash to Space Hippie | Behind the Design | Nike+good intentions, ugly shoes tho",https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
22,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+such a great design with so much thought put into each aspect of the shoe.,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
23,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+Hell I love these!Unfortunately couldn't get my hands on a pair of'em. :  (,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
24,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+im annoyed because they are just selling trash for 500 dollars,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
25,Nike,waste,"From Trash to Space Hippie | Behind the Design | Nike+Would have been nice if they hadn’t sold out in 30 seconds and that I could get a pair from SNEAKRS, when these drop in the US there’s going to be a lot of disappointment",https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
26,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+Why tf is a shoe made of trash so expensive?,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
28,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+You cant get these shoes in the official nike store; currently they are getting sold in shoe resell sites such as GOAT and StockX for around 300 to 400 usd.,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
29,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+what percent of the shoe is not made in a sweatshop?,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
31,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+the shoes half trash and fkn expensive makes no sense,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
32,Nike,waste,"From Trash to Space Hippie | Behind the Design | Nike+This design is a real game-changer for the industry. We waste so many different materials in a one time use, so finding the best way to repurpose those is truly going to be the future of footwear. Looking forward to getting a pair of these for myself!",https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
34,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+Why to pay so much for trash?,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
35,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+This is literally garbage because it you want to make convenient shoes that’s recycled you better bake it cheap. This is not a movement to recycle but just to make more cash,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
36,Nike,waste,"From Trash to Space Hippie | Behind the Design | Nike+Make it affordabel , safe planet not just your image",https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
72,Nike,waste,"From Trash to Space Hippie | Behind the Design | Nike+Joy ride, space hippie..whats up with these names??  Maybe next are, morning glory, eternal sunshine??",https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
73,Nike,waste,"From Trash to Space Hippie | Behind the Design | Nike+The name ""Space Hippie"" doesnt seem to fit well with the shoes. It doesnt seem to give justice to it!! Step up your game, Nike Designers and Innovators!!",https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
75,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+Why is trash so expensive,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
76,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+Trash to cash,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
78,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+If u use recycled material then how does every space hippie look uniform and same as the recycled materials are different?,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
