comment_text,brand,search_term,source,additional_info
"i love the mini dress! it's an amazing combination",Prada,love,TikTok,"{ likes: 1033, date: '2021-04-26 08:20:53'}"
"Love ur style !😍 btw wheres the boots frm ??",Prada,love,TikTok,"{ likes: 14, date: '2021-04-26 10:15:48'}"
"hey love ur outfit! wheres the dress from?🥰",Prada,love,TikTok,"{ likes: 100, date: '2021-04-26 11:05:22'}"
"I LOVE THIS SNSMJSNSNSNA",Prada,love,TikTok,"{ likes: 2, date: '2021-04-26 12:58:08'}"
"i love this look 💓",Prada,love,TikTok,"{ likes: 4, date: '2021-04-26 15:20:15'}"
"looks like swaggy Gowon on mv One&Only",Prada,like,TikTok,"{ likes: 0, date: '2021-04-26 18:44:16'}"
"i want to dress like this when im older",Prada,like,TikTok,"{ likes: 0, date: '2021-04-26 18:58:19'}"
"how to dress prada",Prada,Prada,TikTok,"{ likes: 0, date: '2021-04-26 18:58:19'}"
"Do chanel please",Prada,Chanel,TikTok,"{ likes: 13, date: '2021-04-27 02:12:56'}"
"do louis vuitton",Prada,Louis Vuitton,TikTok,"{ likes: 1, date: '2021-04-27 02:28:23'}"
"gucci plz if you can",Prada,Gucci,TikTok,"{ likes: 519, date: '2021-04-27 03:01:11'}"
"how did your voice change like that",Prada,like,TikTok,"{ likes: 1, date: '2021-04-27 04:29:00'}"
"“ Sorry my Pradas at the cleaners- along with my hoodie... “",Prada,Prada,TikTok,"{ likes: 0, date: '2021-04-27 05:52:55'}"
"my brain he love me he give me all his money that gucci PRADA comfy my sugar daddy",Prada,love,TikTok,"{ likes: 0, date: '2021-04-27 06:48:54'}"
"I hate it lol",Prada,hate,TikTok,"{ likes: 0, date: '2021-04-27 07:13:51'}"
"can you do Dior plss",Prada,Dior,TikTok,"{ likes: 1, date: '2021-04-27 07:36:49'}"
"i like these!",Prada,like,TikTok,"{ likes: 2, date: '2021-04-27 08:28:28'}"
"Prada is the chunkiest",Prada,Prada,TikTok,"{ likes: 1, date: '2021-04-28 05:40:31'}"
"a loooooooooOoove prada",Prada,Prada,TikTok,"{ likes: 1, date: '2021-04-28 08:37:50'}"
"i have a white prada skirt. how do i style that?",Prada,Prada,TikTok,"{ likes: 2, date: '2021-04-28 19:58:53'}"
"Have you done or could you do Burberry with smaller purses",Prada,Burberry,TikTok,"{ likes: 23, date: '2021-04-29 01:08:45'}"
"Ok this is actually style not that aesthetic crap",Prada,aesthetic,TikTok,"{ likes: 0, date: '2021-05-01 12:47:40'}"
"can you do dior",Prada,Dior,TikTok,"{ likes: 0, date: '2021-05-02 08:09:39'}"
"U look like Blair Waldorf lol",Prada,like,TikTok,"{ likes: 0, date: '2021-05-09 22:49:45'}"
"Louis Vuitton please",Prada,Louis Vuitton,TikTok,"{ likes: 0, date: '2021-05-12 06:50:48'}"
"givenchy and versace please!",Prada,Versace,TikTok,"{ likes: 0, date: '2021-05-12 16:40:44'}"
"Ohh can u do Chanel if u have time?",Prada,Chanel,TikTok,"{ likes: 1, date: '2021-05-12 19:59:39'}"
"@peter_vigilante you should do more Clem up videos or something nice for your mom like give her flowers or something 💐",Lululemon,like,TikTok,"{ likes: 43, date: '2021-05-15 03:30:35'}"
"I CAN COOK❗️I CAN CLEAN‼️🔷🔶with price to pay 🤣🤣🤣",Lululemon,price,TikTok,"{ likes: 18, date: '2021-05-15 10:24:19'}"
"@lovelyminari what's this???",Lululemon,love,TikTok,"{ likes: 12, date: '2021-05-15 11:43:50'}"
"Do Louis Vuitton please",Prada,Louis Vuitton,TikTok,"{ likes: 1, date: '2021-05-15 14:08:30'}"
"Wait u look just like your mom 😯",Lululemon,like,TikTok,"{ likes: 0, date: '2021-05-16 02:54:49'}"
"@rohankishibelover this weirded me out idk why",Lululemon,love,TikTok,"{ likes: 5, date: '2021-05-16 03:51:27'}"
"i hate this",Prada,hate,TikTok,"{ likes: 0, date: '2021-05-16 09:26:30'}"
"@itzzzz._.elizabethhh THEY LOOK LIKE UR MOM",Lululemon,like,TikTok,"{ likes: 27, date: '2021-05-16 13:38:01'}"
"I AINT NEVER SEEN TWO PRETTY BEST FRIENDS",Lululemon,best,TikTok,"{ likes: 0, date: '2021-05-17 03:25:13'}"
"Love your mom🇮🇱❤️🇮🇱❤️",Lululemon,love,TikTok,"{ likes: 0, date: '2021-05-17 23:01:28'}"
"With all those ruffles fluffles, it looks more like Chanel.",Prada,like,TikTok,"{ likes: 0, date: '2021-05-20 05:43:33'}"
"that feels uncomfortable 😅",Prada,comfortable,TikTok,"{ likes: 0, date: '2021-05-20 17:29:34'}"
"what is that? sounds like it has pebbles in it😂😂 #ouch",Lululemon,like,TikTok,"{ likes: 0, date: '2021-05-20 19:51:04'}"
"I NEED ZARA RN",Prada,Zara,TikTok,"{ likes: 0, date: '2021-05-21 09:48:39'}"
"the best one who've done this prada challenge ✨✨✨",Prada,best,TikTok,"{ likes: 0, date: '2021-05-24 09:48:16'}"
"How to dress like blare from gossip girls",Prada,like,TikTok,"{ likes: 0, date: '2021-06-08 19:02:52'}"
"Chanel plz 🥺",Prada,Chanel,TikTok,"{ likes: 0, date: '2021-06-13 10:42:35'}"
"✨kdrama✨ scene badas also like this",Prada,like,TikTok,"{ likes: 0, date: '2021-06-21 08:09:27'}"
"But i really like the outfit ^^",Prada,like,TikTok,"{ likes: 0, date: '2021-06-21 11:28:58'}"
"You nailed it queen!! That headband is a prada icon",Prada,Prada,TikTok,"{ likes: 0, date: '2021-06-23 20:09:53'}"
"Please share the details of the outfit! I love it 🥰🥰🥰",Prada,love,TikTok,"{ likes: 0, date: '2021-06-24 21:31:24'}"
"I wanna see Versace",Prada,Versace,TikTok,"{ likes: 0, date: '2021-06-25 08:37:47'}"
"But now u look like ko mun yeung",Prada,like,TikTok,"{ likes: 0, date: '2021-06-27 11:36:06'}"
"His mom is so pretty when he called her on Thth I was like how cute 😂😂",Lululemon,like,TikTok,"{ likes: 0, date: '2021-06-28 06:07:54'}"
"Have you ever seen a prada runway? Please",Prada,Prada,TikTok,"{ likes: 0, date: '2021-06-30 23:58:08'}"
"this looks more like YSL",Prada,like,TikTok,"{ likes: 0, date: '2021-07-01 06:09:46'}"
"Prada is not about wearing black 😂",Prada,Prada,TikTok,"{ likes: 0, date: '2021-07-13 22:31:00'}"
"do Dior pleaseeee",Prada,Dior,TikTok,"{ likes: 0, date: '2021-07-24 01:14:29'}"
"HBDD KOO WISH YOU ALL THE BEST",Cartier,best,TikTok,"{ likes: 0, date: '2021-07-24 14:46:19'}"
"👉BUY/ORDER 💯%AUTHENTIC Prada Red Leather Diagramme Shoulder Bag $2117 @ facebook page:KABAYANHOMESHOPPINGCENTER..THANK YOU FOR SUPPORT🥰",Prada,Prada,TikTok,"{ likes: 0, date: '2021-08-02 14:30:48'}"
"i want to be rich like you😭",Cartier,like,TikTok,"{ likes: 0, date: '2021-08-03 08:27:22'}"
"love love cartier...🥰🥰🥰",Cartier,love,TikTok,"{ likes: 0, date: '2021-08-03 23:52:24'}"
"I lost some earings from cartier in in my moms car- uhm yeah😬",Cartier,Cartier,TikTok,"{ likes: 0, date: '2021-08-04 02:44:44'}"
"It looks like Jungkook and Taehyung's bracelet😍 ARMYYYYYY'sszs💜💜💜💜",Cartier,like,TikTok,"{ likes: 0, date: '2021-08-04 17:17:24'}"
"I love Cartier’s",Cartier,love,TikTok,"{ likes: 0, date: '2021-08-04 20:58:15'}"
"I love the 🎒 with the velvet ropes!! I collect them as well😳 the 2 I have 😂😂😂🥰🥰",Cartier,love,TikTok,"{ likes: 0, date: '2021-08-11 05:12:18'}"
"U got this from Cartier in Singapore? 🇸🇬",Cartier,Cartier,TikTok,"{ likes: 0, date: '2021-08-22 05:44:52'}"
"well not to be rude but I feel like I were being stupid",Lululemon,like,TikTok,"{ likes: 0, date: '2021-09-21 20:44:37'}"
"Can I get the name from the gloves I know it’s Nike but we’re can I get it",Nike,love,TikTok,"{ likes: 150, date: '2021-10-20 19:25:41'}"
"which gloves are they?",Nike,love,TikTok,"{ likes: 17, date: '2021-10-20 20:18:28'}"
"Name of the gloves plz someone",Nike,love,TikTok,"{ likes: 16, date: '2021-10-20 20:42:21'}"
"The gloves are nike hyperwarm, boys , ur welcome",Nike,love,TikTok,"{ likes: 166, date: '2021-10-20 21:25:50'}"
"How this doesn’t have more likes I don’t know amazing😂",Prada,like,TikTok,"{ likes: 0, date: '2021-10-26 12:33:14'}"
"Both look cheap . Such an oversaturated collection",Prada,cheap,TikTok,"{ likes: 68, date: '2021-11-05 15:40:01'}"
"I literally don’t see a difference and wouldn’t of buying this brand, if its Prada its doesn’t mean it has to be nice",Prada,Prada,TikTok,"{ likes: 38, date: '2021-11-06 06:50:23'}"
"the material differences omg 😌",Prada,material,TikTok,"{ likes: 0, date: '2021-11-06 13:40:14'}"
"I see the difference fake one looks cheap way to big",Prada,cheap,TikTok,"{ likes: 0, date: '2021-11-06 14:25:10'}"
"I've brought a Prada bag from the thrift shop and I wanna a help to know if it is real or fake pls",Prada,Prada,TikTok,"{ likes: 0, date: '2021-11-06 15:06:01'}"
"LADY DIOR PLEASE ✨🙏",Prada,Dior,TikTok,"{ likes: 0, date: '2021-11-06 23:15:14'}"
"Why do the fake one look better ?",Prada,better,TikTok,"{ likes: 1, date: '2021-11-06 23:28:50'}"
"Yeh the only difference is the price",Prada,price,TikTok,"{ likes: 0, date: '2021-11-07 01:59:06'}"
"that’s like the multiple choice questions in the exam",Prada,like,TikTok,"{ likes: 0, date: '2021-11-07 07:58:20'}"
"the quality is different.",Prada,quality,TikTok,"{ likes: 2, date: '2021-11-09 13:00:08'}"
"That’s it ordering Prada on alliexpress",Prada,Prada,TikTok,"{ likes: 1, date: '2021-11-09 19:34:34'}"
"Hmm mine looks like the fake one but I bought in the Prada store",Prada,like,TikTok,"{ likes: 0, date: '2021-11-09 22:18:44'}"
"Can you make the Ysl opyum",Prada,YSL,TikTok,"{ likes: 0, date: '2021-11-10 02:51:28'}"
"Fake or real, I still don’t like this handbag 😅",Prada,like,TikTok,"{ likes: 0, date: '2021-11-10 23:52:43'}"
"Where can I get the fake one cheap n looks so real",Prada,cheap,TikTok,"{ likes: 0, date: '2021-11-11 06:51:35'}"
"Well like good night",Prada,like,TikTok,"{ likes: 1, date: '2021-11-11 17:09:21'}"
"its like I see the difference but I can't tell where it is",Prada,like,TikTok,"{ likes: 1, date: '2021-11-11 17:18:18'}"
"fake looks better",Prada,better,TikTok,"{ likes: 0, date: '2021-11-11 19:19:23'}"
"Only difference Is the price",Prada,price,TikTok,"{ likes: 80, date: '2021-11-12 07:10:22'}"
"its the quality",Prada,quality,TikTok,"{ likes: 2, date: '2021-11-14 14:08:54'}"
"Can’t really tell unless you look very closely to details but I love my FAKE Prada bag <3🥰",Prada,love,TikTok,"{ likes: 0, date: '2021-11-15 01:13:59'}"
"Love H&M for basic pieces. Always my go to",H&M,love,TikTok,"{ likes: 2, date: '2021-11-17 23:32:47'}"
"give your life to jesus christ he loves you",Prada,love,TikTok,"{ likes: 0, date: '2021-11-21 00:11:30'}"
"I find the sizing to be so hit and miss with h&m its one of those shops you need to try on before you buy",H&M,sizing,TikTok,"{ likes: 0, date: '2021-12-06 16:48:46'}"
"who actually cares, prada are criminal for charging this much for a nylon bag, i’ll take the one with negligible differences any day",Prada,Prada,TikTok,"{ likes: 0, date: '2022-01-01 20:55:20'}"
"@femkeduursma i love adam driver",Gucci,love,TikTok,"{ likes: 1, date: '2022-02-06 11:14:14'}"
"OMG I LOVE THIS!!!!",Gucci,love,TikTok,"{ likes: 1, date: '2022-02-06 14:06:23'}"
"was this movie worth to watch??",Gucci,worth,TikTok,"{ likes: 0, date: '2022-02-06 19:42:34'}"
"WE LOVE U GAGAAAAA 🥰🥰🥰🥰🥰",Gucci,love,TikTok,"{ likes: 0, date: '2022-02-06 22:28:52'}"
"Mauritzio Gucci meeting Tom Ford *colorized",Gucci,color,TikTok,"{ likes: 1, date: '2022-02-07 05:14:07'}"
"anyone who watched the movie .. would recommend it ?",Gucci,recommend,TikTok,"{ likes: 0, date: '2022-02-07 17:19:57'}"
"is the movie worth watching",Gucci,worth,TikTok,"{ likes: 0, date: '2022-02-08 13:24:29'}"
"idgaf what y‘all say i loved adam driver in that role and his smile is so cute",Gucci,love,TikTok,"{ likes: 3, date: '2022-02-10 10:31:26'}"
"@luccciie i love him",Gucci,love,TikTok,"{ likes: 1, date: '2022-02-16 00:38:04'}"
"This bags made from cheap quality anyways Lol- Nylon - and most of their products are manufactured in China. Not surprised the fake looks the same",Prada,quality,TikTok,"{ likes: 1, date: '2022-02-20 03:42:28'}"
"Dude you look mad different now… you also act different… both in a better way",Prada,better,TikTok,"{ likes: 0, date: '2022-03-03 17:35:47'}"
"There is artistry prada is famous for their nylon because historically after Thomas Burberry invented gabardine in trench coats prada was one",Prada,Prada,TikTok,"{ likes: 0, date: '2022-03-18 19:49:13'}"
"Don’t tell me your besties with Sammy from black stone",Prada,best,TikTok,"{ likes: 0, date: '2022-03-19 20:41:08'}"
"This looks like the store in Eindhoven",H&M,like,TikTok,"{ likes: 1, date: '2022-04-01 07:00:51'}"
"Wait love your hoops",Prada,love,TikTok,"{ likes: 1, date: '2022-04-14 00:55:39'}"
"Best audio ever",Gucci,best,TikTok,"{ likes: 6, date: '2022-04-20 23:45:41'}"
"i'm to fat for something like that",H&M,like,TikTok,"{ likes: 3, date: '2022-04-24 07:37:31'}"
"You take a good choice😁we have factory pricedo u need?",Gucci,price,TikTok,"{ likes: 5, date: '2022-05-05 14:32:57'}"
"newyorklife See@ jemme_hamilton e best products with us international brands coupons deals nd many more",Prada,best,TikTok,"{ likes: 0, date: '2022-05-14 16:20:16'}"
"gotta touch and feel the difference. hardware quality is completely different too",Prada,quality,TikTok,"{ likes: 0, date: '2022-05-14 16:20:16'}"
"Damn i'm really prada u",Prada,Prada,TikTok,"{ likes: 0, date: '2022-05-20 11:39:33'}"
"Yooo I LOVE THIS",Prada,love,TikTok,"{ likes: 1, date: '2022-05-20 11:41:37'}"
"how much did you spent for this trend ?",Prada,trend,TikTok,"{ likes: 0, date: '2022-05-20 12:20:16'}"
"That's it stop the trend 🥰🥰🥰",Prada,trend,TikTok,"{ likes: 0, date: '2022-05-20 14:14:26'}"
"I wanted to use this chance to say “more like prata” but it turned out great. 😩",Prada,like,TikTok,"{ likes: 0, date: '2022-05-20 15:40:50'}"
"I can't with his DIY Prada logo hahahaha",Prada,Prada,TikTok,"{ likes: 0, date: '2022-05-20 17:00:10'}"
"@prada better take a look at this!😍",Prada,better,TikTok,"{ likes: 0, date: '2022-05-20 22:52:29'}"
"FACE OF PRADA",Prada,Prada,TikTok,"{ likes: 0, date: '2022-05-21 07:46:57'}"
"Prada is typing............",Prada,Prada,TikTok,"{ likes: 1, date: '2022-05-21 12:04:59'}"
"We love a Frauda 🤩",Prada,love,TikTok,"{ likes: 2, date: '2022-05-24 22:50:15'}"
"@u.sofiya you bestie",Gucci,best,TikTok,"{ likes: 6, date: '2022-05-29 16:30:02'}"
"Do you recommend any good price for a good designer bag? I wanna buy my first one but idk what to buy tbh",Prada,price,TikTok,"{ likes: 0, date: '2022-06-16 01:30:22'}"
"Omg you have passport dunks I want those really bad I love your videos btw 🥰",Nike,love,TikTok,"{ likes: 1, date: '2022-06-18 17:51:37'}"
"hey! i love your videos!",Nike,love,TikTok,"{ likes: 1, date: '2022-06-18 18:01:43'}"
