comment_id,comment_text,brand,search_term,source,additional_info,Subjectivity,Polarity
7298047533120127749,When Uniqlo coming in Kazakhstan?,Uniqlo,Uniqlo,TikTok,"{ likes: 0, date: '2023-11-05 18:32:01'}",0,
7285748138479076104,Human Chanel Jennie,Chanel,Chanel,TikTok,"{ likes: 2, date: '2023-10-03 15:03:56'}",0,
7270132546209497862,Loise viton better👍💀,Chanel,better,TikTok,"{ likes: 0, date: '2023-08-22 13:07:36'}",1,1
7319625048132715306,Bestie I need it in black!!!!,Lululemon,best,TikTok,"{ likes: 4, date: '2024-01-02 22:03:44'}",1,1
7311681576933999365,I have questions do they made it from gold or is just the brand what making it expensive,,,TikTok,"{ likes: nan, date: 'nan'}",0,
7319587972039508766,Why am I poor 😭 I hope to own a Dior bag one day,Dior,Dior,TikTok,"{ likes: 2, date: '2024-01-02 19:40:09'}",1,1
7344501599010587399,Ysl never disappoints,YSL,YSL,TikTok,"{ likes: 0, date: '2024-03-09 22:57:50'}",1,1
7276428837121377067,What a luxe experience! The box the quilted dust bag the actual bag! Love the attention to detail.,Gucci,love,TikTok,"{ likes: 3, date: '2023-09-08 12:20:53'}",1,1
7269132248384357163,Search awvud2 for $200 on SHEIN,Shein,Shein,TikTok,"{ likes: 2, date: '2023-08-19 20:26:02'}",0,
7332331940010672938,Lmao over priced,Louis Vuitton,price,TikTok,"{ likes: 0, date: '2024-02-06 03:53:09'}",1,0
7282071964369503009,Nice clothes bro. I only had the fragrance prada le homme.,Prada,Prada,TikTok,"{ likes: 3, date: '2023-09-23 17:18:58'}",1,1
7326744402226529029,Ysl libre price?,YSL,price,TikTok,"{ likes: 352, date: '2024-01-22 02:30:33'}",0,
6955654754005713670,Do chanel please,Prada,Chanel,TikTok,"{ likes: 13, date: '2021-04-27 02:12:56'}",0,
7306678122557719342,For like 3 more weeks- then sketchers will be back.,Adidas,like,TikTok,"{ likes: 1, date: '2023-11-29 00:43:19'}",0,
7344320702474945285,DIOR PLEASE 🐭ྀིྀི,Dior,Dior,TikTok,"{ likes: 0, date: '2024-03-09 11:15:31'}",0,
7186414195276497669,@mikaylanogueira what’s the best skin care brand would you recommend. X,YSL,recommend,TikTok,"{ likes: 1, date: '2023-01-08 22:37:42'}",0,
7310027351873110827,people when someone doesn't have Jordan's or nikes: 😱😰😨,Puma,Nike,TikTok,"{ likes: 0, date: '2023-12-08 01:19:52'}",0,
7273984612350116650,it’s cute but it also looks like an American Catholic school uniform haha,Ralph Lauren,like,TikTok,"{ likes: 3, date: '2023-09-01 22:15:39'}",1,1
6955539096304107521,looks like swaggy Gowon on mv One&Only,Prada,like,TikTok,"{ likes: 0, date: '2021-04-26 18:44:16'}",0,
7175449251961914118,Beauty in Burberry is in the eye of the beholder,Burberry,Burberry,TikTok,"{ likes: 0, date: '2022-12-10 09:28:13'}",1,1
7343302967397352194,ysl never disappoints,YSL,YSL,TikTok,"{ likes: 2277, date: '2024-03-06 17:26:17'}",1,1
7284383555006104353,How much cost the second chanel bag in euros,Chanel,Chanel,TikTok,"{ likes: 3, date: '2023-09-29 22:49:47'}",0,
7152489094809912070,Painful since those shoes are not thought to be worn for walks 😂 the ppl at ysl should have told. Photoshootings 👍 Sitting 👍.. Walking 🚫,YSL,thought,TikTok,"{ likes: 12, date: '2022-10-09 12:30:54'}",0,
7266616095531549486,I rather have Cartier. I’m no Brokie,Cartier,Cartier,TikTok,"{ likes: 138, date: '2023-08-13 01:41:57'}",1,1
7292574643773915950,If 1 person likes this I'm buying it 🙈,Lululemon,like,TikTok,"{ likes: 221, date: '2023-10-22 00:34:37'}",1,1
7345535406522123039,PUMA? AS IN BARTHOLOMEW?,Puma,Puma,TikTok,"{ likes: 1, date: '2024-03-12 17:49:35'}",0,
