,Brand,Search,Comments,Source,Additional info,Subjectivity,Polarity
5630,Forever 21,haul,FOREVER 21 HAUL+Your videos always put me in a good mood cuz you're so happy and smiley,https://www.youtube.com//watch?v=giUmT-Ob2jk&pp=ygUQRm9yZXZlciAyMSBoYXVsIA%3D%3D,,0,
9442,ASOS,worth it,"ASOS: are their clothes worth your money? ǀ Fashion haul but different ǀ Justine Leconte+You help me realize even though spending a lot of money can be hard, that it is worth paying for quality garments. Buying less clothes but better quality. Also you help point out things people don't know to look for like how things are cut, the lining, or fabric chosen.",https://www.youtube.com//watch?v=OBCbEjnjhuY&pp=ygUOQVNPUyB3b3J0aCBpdCA%3D,,0,
10453,ASOS,opinions,i tried ASOS 2 years later and it was...interesting | size 14/16 try-on!+That gummy bear sweater screams that you need to take a trip to Tokyo and wear it!,https://www.youtube.com//watch?v=ImfrR5FcH7A&pp=ygUOQVNPUyBvcGluaW9ucyA%3D,,0,
7143,Forever 21,comparison,"What ACTUALLY Fits a Size 12 at Forever 21?+i didn't even know that 'mid-sized' was a term before I watched your videos. i finally feel SEEN. and when you said ""its not MY body thats the problem,"" that was exactly what i needed to hear. thank you!!!!!!!!",https://www.youtube.com//watch?v=FbeHk_NroK8&pp=ygUWRm9yZXZlciAyMSBjb21wYXJpc29uIA%3D%3D,,0,
5864,Forever 21,haul,"HUGE FOREVER 21 SUMMER TRY ON HAUL | trendy affordable clothes !+It'd be cool to see your individual outfits and clothing pieces in different lights, angles, and settings.  Along with that different amounts of the piece shown in areas that people might want to see, and in ways people not not think of.",https://www.youtube.com//watch?v=jd3btUbpUCg&pp=ygUQRm9yZXZlciAyMSBoYXVsIA%3D%3D,,0,
15973,Versace,consumerism,Versace Eros 2012 | Fragrances+SA majetad sa majesty l'ordre très chers royaume le paradise dans les 4saisons se que je lui e offre somptueux SA majestad SA majesty l'ordre là bible e la fortune l'ordre,https://www.youtube.com//watch?v=gsPsM6YYrfY&pp=ygUUVmVyc2FjZSBjb25zdW1lcmlzbSA%3D,,0,
9052,ASOS,animal testing,Is animal testing reliable? Johns Hopkins professor answers+It has to stop. Animals deserve to live free,https://www.youtube.com//watch?v=nVoPpuYsMUU&pp=ygUUQVNPUyBhbmltYWwgdGVzdGluZyA%3D,,0,
18792,Versace,popular,"Reacting to Popular Men's Fragrances (Dior Sauvage, Versace Eros & More) | Courtney Ryan+Also purchase a regular basic ️ to wake you up, not the smartphone. I found the smartphone pulls a person's attention away from where it needs to be.",https://www.youtube.com//watch?v=C7u3MTklaFg&pp=ygUQVmVyc2FjZSBwb3B1bGFyIA%3D%3D,,0,
16490,Versace,animal testing,"Jaclyn Hill TESTED On Animals, Ariel Versace Has A PROBLEM!+You're spot on with your content being an escape for people. I watch your videos when I'm feeling sad and I dont want to be constantly bombarded with the hatred and horrible things going on in the world for at least 20 minutes",https://www.youtube.com//watch?v=9BWRp213_ac&pp=ygUXVmVyc2FjZSBhbmltYWwgdGVzdGluZyA%3D,,0,
9943,ASOS,haul,"ASOS Haul / why i don't shop there+I was a regular ASOS shopper until a few years ago, when I decided to quit fast fashion. I still have a couple of pieces (a leather moto jacket and a bomber jacket) going strong in my wardrobe, though.",https://www.youtube.com//watch?v=SlYV6DTxg1A&pp=ygUKQVNPUyBoYXVsIA%3D%3D,,0,
3099,Dior,popular,TOP DIOR PERFUMES AND BEAUTY GUIDE+Hey bestie!! 🩷 I love the Dior Lip Glow balm and Maximizer. Dior definitely has THE best balm I've tried thus far. I'm a lip gloss/balm type of girl lol ️,https://www.youtube.com//watch?v=b-dVvGbIopM&pp=ygUNRGlvciBwb3B1bGFyIA%3D%3D,,0,
6413,Forever 21,opinions,"Why Did Forever 21 File For Bankruptcy?+Some lessons from this are: Do homework on the markets you're going to cover, don't over expand, think about quality of the products, look at sustainability of the items (such as using responsibly sourced cotton for t-shirts), have an up to date, secure and expanded online store (which includes mobile and tablet apps) and think about additional sizings.",https://www.youtube.com//watch?v=DxlkvrbRvqI&pp=ygUURm9yZXZlciAyMSBvcGluaW9ucyA%3D,,1,0
14776,Mango,ethically sourced,"MANGO Committed | Making FASHION more SUSTAINABLE+WHEN I STARTED MY MASTERS IN BUSINESS STUDIES BACK IN 2013, I GOT WELL ACQUAINTED WITH GOOD BRANDS ️️️️ MANGO BRAND CAN BE EASILY SEEN IN MAKATI AREA ️️️️️",https://www.youtube.com//watch?v=pOe5M0GtYZo&pp=ygUYTWFuZ28gZXRoaWNhbGx5IHNvdXJjZWQg,,0,
18522,Versace,comparison,"VERSACE BRIGHT CRYSTAL vs ABSOLU, CRYSTAL NOIR EDT vs EDP, YELLOW DIAMOND vs INTENSE | Soki London+Lovely review i never tried vercasie",https://www.youtube.com//watch?v=g5RiUHQfmjo&pp=ygUTVmVyc2FjZSBjb21wYXJpc29uIA%3D%3D,,0,
7787,ASOS,waste,The environmental disaster fuelled by used clothes and fast fashion | Foreign Correspondent+1 year ago this was a giant issue. Now it is getting harder and harder to get clothes at the thrift shop due to it being trendy and the resellers. Great for the thrift shop owners and the charities who profit from it. Not so great for the people who need a good bargain for clothes. Trends seem to always have their victims.,https://www.youtube.com//watch?v=bB3kuuBPVys&pp=ygULQVNPUyB3YXN0ZSA%3D,,0,
1312,Dior,price,Shopping at DIOR (w/ Prices) Greenbelt | New Collection bag: Lady Dior + Lady D-Joy + Caro + Saddle+So many cute Dior bags my beautiful BB. I hope you have a wonderful weekend.,https://www.youtube.com//watch?v=mdGdZcfSENE&pp=ygULRGlvciBwcmljZSA%3D,,0,
14095,Mango,thoughts,"Mango - ""Thoughts""+mango is my dad",https://www.youtube.com//watch?v=6wmtsEmFtEE&pp=ygUPTWFuZ28gdGhvdWdodHMg,,0,
5018,Forever 21,animal testing,"Animal Testing in 60 Seconds+Poor Babies :,(. Breaks my heart.",https://www.youtube.com//watch?v=rYATRV6W4iA&pp=ygUaRm9yZXZlciAyMSBhbmltYWwgdGVzdGluZyA%3D,,0,
646,Dior,consumerism,Dior Addict - The New Icon of Shine+I’m in Dior  I really love Dior products,https://www.youtube.com//watch?v=Vpozma3GnGw&pp=ygURRGlvciBjb25zdW1lcmlzbSA%3D,,0,
1577,Dior,worth it,DIOR did my Makeup: Was it worth the $$$? 😳+tina looks like mina myong,https://www.youtube.com//watch?v=nluemmjSm_w&pp=ygUORGlvciB3b3J0aCBpdCA%3D,,0,
9168,ASOS,price,"Is ASOS Stock a Buy Now? Down 87%!+Investing in crypto now should be in every wise individuals list, in some months time you'll be ecstatic with the decision you made today",https://www.youtube.com//watch?v=6zBQwJQJK9U&pp=ygULQVNPUyBwcmljZSA%3D,,0,
7717,Forever 21,ethically sourced,"The Decline of Forever 21...What Happened?+Used to shop at Forever21 often in my early 20s, I always found it was hit or miss with them though. You could go in one day and find a bunch of cool stuff u like, then go another day and there’s nothing u like. Also felt the clothing sections and organization layout was a bit messy for my taste. Regardless I did find some gems there, yea they didn’t last long but for the moment they were cool",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygUdRm9yZXZlciAyMSBldGhpY2FsbHkgc291cmNlZCA%3D,,0,
