comment_id,comment_text,brand,search_term,source,additional_info
6955378471812251649,i love the mini dress! it's an amazing combination,Prada,love,TikTok,"{ likes: 1033, date: '2021-04-26 08:20:53'}"
6955408100724162562,Love ur style !😍 btw wheres the boots frm ??,Prada,love,TikTok,"{ likes: 14, date: '2021-04-26 10:15:48'}"
6955420879023357954,hey love ur outfit! wheres the dress from?🥰,Prada,love,TikTok,"{ likes: 100, date: '2021-04-26 11:05:22'}"
6955449924909645826,I LOVE THIS SNSMJSNSNSNA,Prada,love,TikTok,"{ likes: 2, date: '2021-04-26 12:58:08'}"
6955486542853046273,i love this look 💓,Prada,love,TikTok,"{ likes: 4, date: '2021-04-26 15:20:15'}"
6955539096304107521,looks like swaggy Gowon on mv One&Only,Prada,like,TikTok,"{ likes: 0, date: '2021-04-26 18:44:16'}"
6955542757083808517,i want to dress like this when im older,Prada,like,TikTok,"{ likes: 0, date: '2021-04-26 18:58:19'}"
6955598876174893058,how to dress prada,Prada,Prada,TikTok,"{ likes: 0, date: '2021-04-26 18:58:19'}"
6955654754005713670,Do chanel please,Prada,Chanel,TikTok,"{ likes: 13, date: '2021-04-27 02:12:56'}"
6955658730604249090,do louis vuitton,Prada,Louis Vuitton,TikTok,"{ likes: 1, date: '2021-04-27 02:28:23'}"
6955667178167779329,gucci plz if you can,Prada,Gucci,TikTok,"{ likes: 519, date: '2021-04-27 03:01:11'}"
6955689810048582406,how did your voice change like that,Prada,like,TikTok,"{ likes: 1, date: '2021-04-27 04:29:00'}"
6955711436668535557,“ Sorry my Pradas at the cleaners- along with my hoodie... “,Prada,Prada,TikTok,"{ likes: 0, date: '2021-04-27 05:52:55'}"
6955725845437235202,my brain he love me he give me all his money that gucci PRADA comfy my sugar daddy,Prada,love,TikTok,"{ likes: 0, date: '2021-04-27 06:48:54'}"
6955732278119514885,I hate it lol,Prada,hate,TikTok,"{ likes: 0, date: '2021-04-27 07:13:51'}"
6955738216767340546,can you do Dior plss,Prada,Dior,TikTok,"{ likes: 1, date: '2021-04-27 07:36:49'}"
6955751523721216002,i like these!,Prada,like,TikTok,"{ likes: 2, date: '2021-04-27 08:28:28'}"
6956079311665480449,Prada is the chunkiest,Prada,Prada,TikTok,"{ likes: 1, date: '2021-04-28 05:40:31'}"
6956124997455364865,a loooooooooOoove prada,Prada,Prada,TikTok,"{ likes: 1, date: '2021-04-28 08:37:50'}"
6956300533519549190,i have a white prada skirt. how do i style that?,Prada,Prada,TikTok,"{ likes: 2, date: '2021-04-28 19:58:53'}"
6956380377188107014,Have you done or could you do Burberry with smaller purses,Prada,Burberry,TikTok,"{ likes: 23, date: '2021-04-29 01:08:45'}"
6957302651218789121,Ok this is actually style not that aesthetic crap,Prada,aesthetic,TikTok,"{ likes: 0, date: '2021-05-01 12:47:40'}"
6957602089447047937,can you do dior,Prada,Dior,TikTok,"{ likes: 0, date: '2021-05-02 08:09:39'}"
6960426502681019141,U look like Blair Waldorf lol,Prada,like,TikTok,"{ likes: 0, date: '2021-05-09 22:49:45'}"
6961292621981598466,Louis Vuitton please,Prada,Louis Vuitton,TikTok,"{ likes: 0, date: '2021-05-12 06:50:48'}"
6961444662452699910,givenchy and versace please!,Prada,Versace,TikTok,"{ likes: 0, date: '2021-05-12 16:40:44'}"
6961495924795998982,Ohh can u do Chanel if u have time?,Prada,Chanel,TikTok,"{ likes: 1, date: '2021-05-12 19:59:39'}"
6962354287230599941,@peter_vigilante you should do more Clem up videos or something nice for your mom like give her flowers or something 💐,Lululemon,like,TikTok,"{ likes: 43, date: '2021-05-15 03:30:35'}"
6962460915896255233,I CAN COOK❗️I CAN CLEAN‼️🔷🔶with price to pay 🤣🤣🤣,Lululemon,price,TikTok,"{ likes: 18, date: '2021-05-15 10:24:19'}"
6962481407482938114,@lovelyminari what's this???,Lululemon,love,TikTok,"{ likes: 12, date: '2021-05-15 11:43:50'}"
